施設名,部屋名,都道府県,市区町村,番地以下,URL,分類,最寄駅,最寄駅徒歩[分],面積[㎡],定員[人],利用料(目安),駐車場,ピアノ有無,打楽器貸出,譜面台貸出,予約期間（いつから）,予約期間（いつまで）,備考
大阪市 北区民センター,,大阪府,大阪市北区,,,オーケストラ用,,,,,,,,,,,,
大阪市中央区民センター,,大阪府,大阪市中央区,,,オーケストラ用,,,,,,,,,,,,
大阪市立 東成区民センター,,大阪府,大阪市東成区,,,オーケストラ用,,,,,,,,,,,,
大阪市立西区民センター,,大阪府,大阪市西区,,,オーケストラ用,,,,,,,,,,,,
大阪市立都島区民センター,,大阪府,大阪市都島区,,,オーケストラ用,,,,,,,,,,,,
大阪市立淀川区民センター,,大阪府,大阪市淀川区,,,オーケストラ用,,,,,,,,,,,,
大阪府立男女共同参画・青少年センター（ドーンセンター）,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
大正会館,,大阪府,大阪市大正区,,,オーケストラ用,,,,,,,,,,,,
大淀コミュニティセンター,,大阪府,,,,オーケストラ用,,,,,,,,,,,,
東住吉区民ホール,,大阪府,大阪市東住吉区,,,オーケストラ用,,,,,,,,,,,,
尼崎市女性センター ・トレピエ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,なし,,,,,,
尼崎市立　小田南生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
尼崎市立　小田北生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
尼崎市立　立花北生涯学習プラザ,,兵庫県,尼崎市,,,オーケストラ用,,,,,,,,,,,,
福島区民センター,,大阪府,大阪市福島区,吉野３丁目１７−２３,,オーケストラ用,,,,,,,,,,,,
平野区民ホール,,大阪府,大阪市平野区,平野南１丁目２−７,,オーケストラ用,,,,,,,,,,,,
北出音楽事務所,,大阪府,大阪市城東区,中央１丁目６−２１,,オーケストラ用,,,,,,なし,〇,〇,×,,,
堀江アルテ (~'20/05/31),,大阪府,,,,オーケストラ用,,,,,,なし,〇,〇,〇,,,
木津川市加茂文化センター（あじさいホール）,,京都府,木津川市加茂町,里南古田１５６,,オーケストラ用,,,,,,,,,,,,
門真市立文化会館,,大阪府,門真市,中町２−３,,オーケストラ用,,,,,,,,,,,,
六甲道勤労市民センター,,兵庫県,神戸市灘区,深田町４丁目１−３９,,オーケストラ用,,,,,,,,×,,,,
